timestamp,voltage,current,temperature
2025-10-07T19:43:08.069766,3.524,0.667,22.54
2025-10-07T20:43:08.069766,3.636,0.636,28.22
2025-10-07T21:43:08.069766,3.493,0.668,26.16
2025-10-07T22:43:08.069766,3.772,0.505,26.91
2025-10-07T23:43:08.069766,3.430,0.371,20.47
2025-10-08T00:43:08.069766,3.608,0.555,29.93
2025-10-08T01:43:08.069766,3.547,0.456,29.28
2025-10-08T02:43:08.069766,3.788,0.304,26.09
2025-10-08T03:43:08.069766,3.862,0.657,21.15
2025-10-08T04:43:08.069766,3.590,0.429,26.83
2025-10-08T05:43:08.069766,3.701,0.389,27.37
2025-10-08T06:43:08.069766,3.458,0.489,28.79
2025-10-08T07:43:08.069766,3.937,0.366,22.26
2025-10-08T08:43:08.069766,3.770,0.625,28.75
2025-10-08T09:43:08.069766,3.486,0.416,25.35
2025-10-08T10:43:08.069766,3.578,0.652,22.16
2025-10-08T11:43:08.069766,3.997,0.575,29.08
2025-10-08T12:43:08.069766,3.751,0.410,25.68
2025-10-08T13:43:08.069766,3.817,0.673,25.76
2025-10-08T14:43:08.069766,3.753,0.304,28.48
2025-10-08T15:43:08.069766,3.570,0.395,29.46
2025-10-08T16:43:08.069766,3.683,0.459,21.35
2025-10-08T17:43:08.069766,3.598,0.422,26.52
2025-10-08T18:43:08.069766,3.845,0.368,25.50
2025-10-08T19:43:08.069766,3.468,0.302,27.46
2025-10-08T20:43:08.069766,3.811,0.548,27.91
2025-10-08T21:43:08.069766,3.602,0.461,23.47
2025-10-08T22:43:08.069766,3.802,0.378,25.52
2025-10-08T23:43:08.069766,3.592,0.363,23.93
2025-10-09T00:43:08.069766,3.497,0.429,21.35
2025-10-09T01:43:08.069766,3.497,0.421,25.87
2025-10-09T02:43:08.069766,3.941,0.484,21.51
2025-10-09T03:43:08.069766,3.648,0.598,29.90
2025-10-09T04:43:08.069766,3.945,0.554,21.28
2025-10-09T05:43:08.069766,3.909,0.579,25.38
2025-10-09T06:43:08.069766,3.518,0.649,26.79
2025-10-09T07:43:08.069766,3.796,0.368,21.14
2025-10-09T08:43:08.069766,3.673,0.436,26.27
2025-10-09T09:43:08.069766,3.613,0.651,28.21
2025-10-09T10:43:08.069766,3.832,0.629,20.70
2025-10-09T11:43:08.069766,3.506,0.491,30.12
2025-10-09T12:43:08.069766,3.949,0.692,26.58
2025-10-09T13:43:08.069766,3.826,0.511,27.72
2025-10-09T14:43:08.069766,3.880,0.325,29.76
2025-10-09T15:43:08.069766,3.485,0.575,26.25
2025-10-09T16:43:08.069766,3.457,0.401,25.60
2025-10-09T17:43:08.069766,3.851,0.315,20.69
2025-10-09T18:43:08.069766,3.665,0.468,21.94
2025-10-09T19:43:08.069766,3.764,0.592,27.74
2025-10-09T20:43:08.069766,3.803,0.532,29.01
2025-10-09T21:43:08.069766,3.891,0.623,20.75
2025-10-09T22:43:08.069766,3.705,0.300,29.06
2025-10-09T23:43:08.069766,4.033,0.577,28.63
2025-10-10T00:43:08.069766,3.555,0.486,26.55
2025-10-10T01:43:08.069766,3.637,0.553,22.89
2025-10-10T02:43:08.069766,3.463,0.333,29.36
2025-10-10T03:43:08.069766,3.915,0.599,24.59
2025-10-10T04:43:08.069766,3.940,0.627,24.30
2025-10-10T05:43:08.069766,3.916,0.426,27.46
2025-10-10T06:43:08.069766,3.797,0.329,21.80
2025-10-10T07:43:08.069766,3.584,0.479,24.94
2025-10-10T08:43:08.069766,3.756,0.337,22.33
2025-10-10T09:43:08.069766,3.651,0.654,20.87
2025-10-10T10:43:08.069766,3.712,0.453,21.15
2025-10-10T11:43:08.069766,3.985,0.487,30.18
2025-10-10T12:43:08.069766,3.596,0.502,21.91
2025-10-10T13:43:08.069766,3.488,0.386,27.63
2025-10-10T14:43:08.069766,4.057,0.524,23.14
2025-10-10T15:43:08.069766,3.842,0.594,26.99
2025-10-10T16:43:08.069766,4.008,0.496,28.57
2025-10-10T17:43:08.069766,3.666,0.494,30.03
