timestamp,voltage,current,temperature
2025-10-09T21:43:08.013418,3.805,0.626,24.42
2025-10-09T22:43:08.013418,3.463,0.398,25.88
2025-10-09T23:43:08.013418,3.834,0.507,27.59
2025-10-10T00:43:08.013418,3.700,0.478,29.98
2025-10-10T01:43:08.013418,3.730,0.354,23.00
2025-10-10T02:43:08.013418,3.603,0.499,24.71
2025-10-10T03:43:08.013418,3.744,0.616,29.58
2025-10-10T04:43:08.013418,3.718,0.686,24.01
2025-10-10T05:43:08.013418,3.869,0.364,24.47
2025-10-10T06:43:08.013418,4.005,0.608,21.92
2025-10-10T07:43:08.013418,3.534,0.330,20.51
2025-10-10T08:43:08.013418,3.678,0.690,26.03
2025-10-10T09:43:08.013418,3.598,0.524,29.01
2025-10-10T10:43:08.013418,3.933,0.641,22.95
2025-10-10T11:43:08.013418,4.012,0.649,24.19
2025-10-10T12:43:08.013418,3.566,0.417,26.97
2025-10-10T13:43:08.013418,3.942,0.634,29.97
2025-10-10T14:43:08.013418,3.453,0.455,22.36
2025-10-10T15:43:08.013418,3.970,0.329,27.80
2025-10-10T16:43:08.013418,3.605,0.623,26.80
2025-10-10T17:43:08.013418,3.954,0.694,21.25
2025-10-10T18:43:08.013418,3.458,0.382,28.84
2025-10-10T19:43:08.013418,3.684,0.582,29.90
2025-10-10T20:43:08.013418,3.745,0.381,23.30
2025-10-10T21:43:08.013418,3.846,0.522,29.12
2025-10-10T22:43:08.013418,3.866,0.408,21.33
2025-10-10T23:43:08.013418,3.528,0.637,26.41
2025-10-11T00:43:08.013418,3.923,0.388,21.39
2025-10-11T01:43:08.013418,3.945,0.547,25.52
2025-10-11T02:43:08.013418,4.029,0.625,21.82
2025-10-11T03:43:08.013418,3.563,0.459,29.65
2025-10-11T04:43:08.013418,3.980,0.559,21.40
2025-10-11T05:43:08.013418,3.760,0.404,23.49
2025-10-11T06:43:08.013418,3.615,0.617,25.57
2025-10-11T07:43:08.013418,3.825,0.520,24.24
2025-10-11T08:43:08.013418,3.810,0.427,20.68
2025-10-11T09:43:08.013418,3.612,0.443,24.37
2025-10-11T10:43:08.013418,3.635,0.537,25.95
2025-10-11T11:43:08.013418,3.557,0.544,21.47
2025-10-11T12:43:08.013418,3.906,0.475,26.95
2025-10-11T13:43:08.013418,3.503,0.602,24.14
2025-10-11T14:43:08.013418,4.034,0.526,25.71
2025-10-11T15:43:08.013418,3.750,0.306,26.60
2025-10-11T16:43:08.013418,3.867,0.351,27.15
2025-10-11T17:43:08.013418,3.460,0.514,21.49
2025-10-11T18:43:08.013418,3.904,0.543,21.19
2025-10-11T19:43:08.013418,3.584,0.482,27.83
2025-10-11T20:43:08.013418,3.484,0.482,21.35
2025-10-11T21:43:08.013418,3.600,0.379,21.66
2025-10-11T22:43:08.013418,3.883,0.580,23.67
2025-10-11T23:43:08.013418,3.870,0.555,28.34
2025-10-12T00:43:08.013418,3.840,0.605,24.20
2025-10-12T01:43:08.013418,3.834,0.616,25.17
2025-10-12T02:43:08.013418,3.870,0.657,23.86
2025-10-12T03:43:08.013418,3.643,0.425,29.92
2025-10-12T04:43:08.013418,3.508,0.624,27.30
2025-10-12T05:43:08.013418,3.568,0.401,27.58
2025-10-12T06:43:08.013418,3.813,0.406,26.56
2025-10-12T07:43:08.013418,3.675,0.588,29.06
2025-10-12T08:43:08.013418,3.463,0.691,27.97
2025-10-12T09:43:08.013418,3.544,0.651,22.14
2025-10-12T10:43:08.013418,3.823,0.353,29.93
2025-10-12T11:43:08.013418,3.897,0.386,25.38
